id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
47676038,Thu May 28 2020 12:08:14 GMT-0700 (PDT),2020-05-28,2020-05-28 19:08:14 UTC,Pacific Time (US & Canada),8778,gyrrlfalcon,2020-05-28 23:14:03 UTC,2020-05-29 14:00:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47676038,,https://static.inaturalist.org/sounds/98089.wav?1590707604,"","This tape is primarily of a Pacific Wren, but the American Robin can also be heard clearly.",2,0,false,,"San Mateo County, US-CA, US",37.3696817998,-122.2552156557,32,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47684272,2020/05/28 9:11 AM -0700,2020-05-28,2020-05-28 16:11:00 UTC,Arizona,8778,gyrrlfalcon,2020-05-29 00:48:11 UTC,2020-05-30 01:13:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47684272,,https://static.inaturalist.org/sounds/98115.wav?1590711822,"",Also present on tape - Dark-eyed Junco and Pacific-slope Flycatcher (in separate entries),1,0,false,,Audubon Williams Sisters Ranch,37.3696203173,-122.2527449574,31,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47693738,2020/05/28 1:00 AM -0400,2020-05-28,2020-05-28 04:00:00 UTC,Atlantic Time (Canada),556119,briantinker,2020-05-29 02:46:50 UTC,2020-06-04 18:38:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47693738,,https://static.inaturalist.org/sounds/98178.wav?1590720359,"",,1,0,false,,"Cuyahoga Falls, OH, USA",41.1339449,-81.4845585,8595,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47709062,2015/05/11 12:36 PM ,2015-05-11,2015-05-11 19:36:00 UTC,Pacific Time (US & Canada),3071204,exekutive,2020-05-29 07:37:23 UTC,2020-05-29 09:28:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47709062,,https://static.inaturalist.org/sounds/98254.mp3?1590737772,"",,1,0,false,,"125 Kyle St, Port Moody, BC V3H, Canada",49.2759833,-122.8575778,200,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47716940,2020-05-29 6:22:00 AM EDT,2020-05-29,2020-05-29 10:22:00 UTC,Eastern Time (US & Canada),1102752,joshuapersi,2020-05-29 10:22:39 UTC,2020-05-30 01:11:31 UTC,research,,https://www.inaturalist.org/observations/47716940,,https://static.inaturalist.org/sounds/98309.m4a?1590747763,"",,2,0,false,2,258 Tewsley Drive,45.2776373828,-75.6966245547,263,,open,false,gps,gps,American Robin,Turdus migratorius,American Robin,Aves,12727
47726786,2020-05-29 9:05:29 AM EDT,2020-05-29,2020-05-29 13:05:29 UTC,Eastern Time (US & Canada),613497,plant_kween,2020-05-29 13:09:57 UTC,2020-06-03 14:45:11 UTC,research,,https://www.inaturalist.org/observations/47726786,,https://static.inaturalist.org/sounds/98395.m4a?1590757801,"",A parent teaching two fledged babies to hunt. They hears my cat meowing and flew off before I could get a picture.,1,0,false,2,"Clarkesville, GA 30523, USA",34.6560305,-83.6157798,15,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47777136,2020-05-29 5:26:56 PM EDT,2020-05-29,2020-05-29 21:26:56 UTC,Eastern Time (US & Canada),2714611,kendobson,2020-05-29 21:33:27 UTC,2020-05-30 15:55:14 UTC,research,,https://www.inaturalist.org/observations/47777136,,https://static.inaturalist.org/sounds/99058.wav?1590845855,"",My best guess. 90-95% confident.,1,0,false,2,"Virginia, US",38.6419513569,-77.3394710663,9,obscured,open,true,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47801160,2020/05/29 07:12 PM EDT,2020-05-29,2020-05-29 23:12:00 UTC,Eastern Time (US & Canada),2635535,kittode,2020-05-30 02:23:56 UTC,2020-05-30 11:14:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47801160,,https://static.inaturalist.org/sounds/98845.m4a?1590805318,"",The one that might resemble a puppy's bark...,2,0,false,,"York County, PA, USA",40.0686740435,-76.8533629171,55,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47801906,2020-05-29 7:33:32 PM PDT,2020-05-29,2020-05-30 02:33:32 UTC,Pacific Time (US & Canada),2460115,jasisyellow,2020-05-30 02:34:29 UTC,2020-05-31 02:01:04 UTC,research,,https://www.inaturalist.org/observations/47801906,,https://static.inaturalist.org/sounds/98846.wav?1590806074,"",,2,0,false,2,"Davis, CA 95616, USA",38.53771727,-121.74874417,13,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47825531,2020/05/29 7:36 AM ADT,2020-05-29,2020-05-29 10:36:00 UTC,Atlantic Time (Canada),501106,myacadianforest,2020-05-30 10:38:23 UTC,2020-05-30 12:41:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47825531,,https://static.inaturalist.org/sounds/98948.wav?1590834985,"",Sound identified by BirdNet.  The Robin has taken up residence around our house calling all thru the day.  ,1,0,false,,"Lunenburg County, NS, Canada",44.47751,-64.63442,,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
